id,address,translated_address,latitude,longitude
767860,"г Казань, ул Адоратского 4А","Adoratskogo Street, 4А",55.824971,49.148743
767889,"г Казань, ул Чистопольская 85А","Chistopolskaya Street, 85А",55.823656,49.155139
767895,"г Казань, ул Восстания 87","ulitsa Vosstaniya, 87",55.832439,49.061022
767898,"г Казань, ул Односторонняя Парковая 7 ч/дом","Odnostoronnyaya Parkovaya ulitsa, 7",55.821173,48.917184
767912,"г Казань, пр-кт Победы 70","Pobedy Avenue, 70",55.751386,49.218515
767930,"г Казань, ул Хайдара Бигичева 17","ulitsa Khaydara Bigicheva, 17",55.788034,49.224138
767932,"г Казань, ул Восстания 16","ulitsa Vosstaniya, 16",55.835604,49.094601
768095,"г Казань, ул Короленко 40","Korolenko Street, 40",55.837859,49.102569
768113,"г Казань, ул Сеченова 7","ulitsa Sechenova, 7",55.797463,49.173833
768152,"г Казань, ул Чистопольская 61 А","Chistopolskaya Street, 61А",55.819934,49.132537
768165,"г Казань, ул Бондаренко 27","Bondarenko Street, 27",55.822134,49.103045
768185,"г Казань, ул Беломорская 108 Ж ч.д.","Belomorskaya Street, 108Ж",55.866298,49.051958
768199,"г Казань, ул Тунакова 66","ulitsa Tunakova, 66",55.836074,49.084558
768200,"г Казань, ул Красной Позиции 3","ulitsa Krasnoy Pozitsii, 3",55.791992,49.167598
768320,"г Казань, ул Даурская ",Daurskaya ulitsa,55.763143,49.163475
768445,"г Казань, ул Меридианная 15А","Meridiannaya Street, 15А",55.825224,49.115316
768468,"г Казань, ул Комиссара Габишева 10","ulitsa Komissara Gabisheva, 10",55.739635,49.228064
768506,"г Казань, ул Кленовая 3-я 23 А ","3-ya Klenovaya ulitsa, 23А",55.872541,49.239212
768811,"г Казань, ул Академика Глушко ",Akademika Glushko Street,55.786202,49.23172
769351,"г Казань, ул Юлиуса Фучика 49","ulitsa Yuliusa Fuchika, 49",55.74487,49.201761
769393,"г Казань, ул Кул Гали 1","ulitsa Kul Gali, 1",55.755414,49.223429
769396,"г Казань, ул Меридианная 10","Meridiannaya Street, 10",55.820678,49.1174
769405,"г Казань, ул Аметьевская 72","Ametyevskaya Street, 70",55.769089,49.159136
769436,"г Казань, ул Шигабутдина Марджани ",Shigabutdina Mardzhani Street,55.775054,49.121066
769437,"г Казань, пр-кт Победы ",Pobedy Avenue,55.771783,49.218937
769452,"г Казань, пр-кт Ямашева 57А","Yamasheva Avenue, 57А",55.826291,49.126743
769455,"г Казань, ул Степана Халтурина 8","ulitsa Stepana Khalturina, 8/20",55.815605,49.058947
769493,"г Казань, пр-кт Ибрагимова 40","Ibragimova Avenue, 40/24",55.827434,49.09258
769504,"г Казань, пр-кт Ямашева 115А","Yamasheva Avenue, 115А",55.820936,49.162199
769521,"г Казань, ул Маршала Чуйкова 19","ulitsa Marshala Chuykova, 19",55.836312,49.116511
769551,"г Казань, ул Красной Позиции 41","ulitsa Krasnoy Pozitsii, 41",55.778821,49.169036
769553,"г Казань, ул Кулахметова 19","ulitsa Kulakhmetova, 19",55.828076,49.057025
769607,"г Казань, ул Дмитрия Менделеева 17","ulitsa Dmitriya Mendeleyeva, 17Ак2",55.760636,49.247521
769616,"г Казань, ул Сыртлановой 1","ulitsa Syrtlanovoy, 1",55.753063,49.191422
769625,"г Казань, ул Короленко 50","Korolenko Street, 50",55.839572,49.101392
769626,"г Казань, ул Белинского 25","Belinskiy Street, 25",55.853435,49.069179
769630,"г Казань, ул Гаврилова 56","Gavrilova Street, 56А",55.841705,49.158921
769634,"г Казань, ул Николая Ершова 29","Nikolay Ershov Street, 29",55.794067,49.169098
769645,"г Казань, ул Юлиуса Фучика 72","ulitsa Yuliusa Fuchika, 72",55.755844,49.232358
769659,"г Казань, ул Побежимова 47","ulitsa Pobezhimova, 47",55.859701,49.078701
769664,"г Казань, ул Николая Ершова 65","Nikolay Ershov Street, 65",55.802239,49.182097
769686,"Казань, Гумера Гали 39","ulitsa Gumera Gali, 37",55.692643,49.138484
769777,"г Казань, пр-кт Ямашева 48","Yamasheva Avenue, 48",55.828743,49.124246
769786,"г Казань, ул Декабристов 96","Dekabristov Street, 96",55.821305,49.090541
769801,"г Казань, ул 25 Октября 6","ulitsa 25 Oktyabrya, 6",55.815418,49.063528
769809,"г Казань, пр-кт Ямашева 37","Yamasheva Avenue, 37",55.826276,49.111049
769818,"г Казань, ул Большая 108","Bolshaya Street, 108",55.79678,49.048769
769820,"г Казань, ул Академика Губкина 37","Akademika Gubkina Street, 37",55.809439,49.197809
769831,"г Казань, ул Декабристов 180Б","Dekabristov Street, 180Б",55.840573,49.084989
769853,"г Казань, ул Островского 104","Ostrovskogo Street, 104",55.779337,49.133426
769865,"г Казань, ул Музыкальная 13","Muzykalnaya ulitsa, 13",55.818726,49.049856
769943,"г Казань, ул Юлиуса Фучика 104","ulitsa Yuliusa Fuchika, 104",55.770046,49.234541
770040,"г Казань, тракт Сибирский 6","Sibirskiy trakt, 6",55.804582,49.185259
770120,"г Казань, ул Кул Гали 9 А","ulitsa Kul Gali, 9А",55.751437,49.230965
770206,"г Казань, ул Приволжская (Аракчино) 67","Privolzhskaya ulitsa, 67",55.810289,48.912028
770285,"г Казань, ул Плужная 24А","Pluzhnaya ulitsa, 23",55.859003,48.869591
770299,"г Казань, ул Чистопольская 43","Chistopolskaya Street, 43",55.819843,49.12474
770354,"г Казань, тракт Сибирский 34","Sibirskiy trakt, 34",55.815752,49.182744
770733,"г Казань, ул Островского 57 А","Ostrovskogo Street, 57А",55.784602,49.123994
770820,"г Казань, ул Николая Ершова 1 А","Nikolay Ershov Street, 1А",55.7939,49.149506
770929,"г Казань, ул Баумана 13","Baumana Street, 13",55.791992,49.112837
771081,"г Казань, ул Дубравная 23","Dubravnaya ulitsa, 23",55.739291,49.213502
771097,"г Казань, ул Кулахметова 23 А ","ulitsa Kulakhmetova, 23А",55.828976,49.058372
771119,"г Казань, пр-кт Ямашева 83","Yamasheva Avenue, 83",55.826114,49.142634
771122,"г Казань, ул Маршала Чуйкова 1","ulitsa Marshala Chuykova, 1",55.836312,49.103566
771135,"г Казань, ул Прогонная 19","Progonnaya ulitsa, 19",55.738612,49.095931
771160,"г Казань, ул Олега Кошевого 2","ulitsa Olega Koshevogo, 2",55.854547,49.088511
771242,"г Казань, ул Затлы 24","ulitsa Zatly, 24",55.737856,49.195518
771331,"г Казань, ул Зеленая 18","Zelyonaya ulitsa, 18",55.808371,49.253127
771460,"г Казань, тракт Сибирский 29","Sibirskiy trakt, 29к3",55.812514,49.173177
771600,"г Казань, ул Химиков 63","ulitsa Khimikov, 63",55.878814,49.017714
771636,"г Казань, ул Баумана 80","Baumana Street, 80/7",55.787892,49.119979
771648,"г Казань, ул Тунакова 43","ulitsa Tunakova, 43",55.831625,49.085366
771756,"г Казань, ул Максимова ",ulitsa Maksimova,55.862772,49.08171
771810,"г Казань, ул Абсалямова 13","Absalyamova Street, 13",55.817648,49.10954
771817,"г Казань, ул Ноксинский Спуск 43","ulitsa Noksinskiy Spusk, 43",55.769342,49.24338
771840,"г Казань, ул Ударная 9 или 11","Udarnaya ulitsa, 9",55.875647,49.095158
771923,"г Казань, ул Оренбургский тракт 5 Б","Orenburgskiy trakt, 5Б",55.761406,49.156217
771932,"г Казань, ул Фрунзе ",ulitsa Frunze,55.821644,49.050512
771968,"г Казань, пр-кт Ибрагимова 73","Ibragimova Avenue, 73",55.823682,49.098679
772180,"г Казань, ул Ново-Слободская 16","Novoslobodskaya Street, 16",55.802118,49.034648
772405,"г Казань, ул Хади Такташа 123","Khadi Taktasha Street, 123",55.766734,49.135528
772692,"г Казань, пер Односторонки Гривки 1","pereulok Odnostoronki Grivki, 3",55.811599,49.090658
772709,"г Казань, ул Островского 86","Ostrovskogo Street, 86",55.781231,49.129716
772741,"г Казань, ул Кул Гали 11/52А","ulitsa Kul Gali, 11/52А",55.751133,49.232636
772744,"г Казань, ул Юлиуса Фучика 14","ulitsa Yuliusa Fuchika, 14",55.742559,49.211894
772763,"г Казань, пр-кт Ибрагимова 47","Ibragimova Avenue, 47",55.830078,49.093802
772767,"г Казань, ул Черноморская 5","Chernomorskaya ulitsa, 5",55.820556,49.100701
772786,"г Казань, ул Юлдаш 4","ulitsa Yuldash, 4",55.863869,48.863123
772834,"г Казань, ул Карбышева ",ulitsa Karbysheva,55.755895,49.179402
772837,"г Казань, ул Ломжинская 15","Lomzhinskaya Street, 15",55.768603,49.227678
772918,"г Казань, ул Журналистов 13","Zhurnalistov Street, 13",55.80999,49.188933
772951,"г Казань, ул Рашида Вагапова 3","ulitsa Rashida Vagapova, 3",55.783549,49.227291
772971,"г Казань, ул Центральная 2-я (Салмачи) 118Б  ч/с","2-ya Tsentralnaya ulitsa, 118Б",55.743578,49.28508
772974,"г Казань, ул Пермская 1-я 28","1-ya Permskaya ulitsa, 28",55.878218,49.032644
773001,"г Казань, ул Академика Глушко 39","Akademika Glushko Street, 39",55.787508,49.227875
773008,"г Казань, пр-кт Ямашева 92А","Yamasheva Avenue, 92А",55.827661,49.148473
773013,"г Казань, ул Кызыл Армейская 4","Kyzyl Armeyskaya Street, 4",55.802594,49.060474
773017,"г Казань, пр-кт Победы 132","Pobedy Avenue, 132",55.779008,49.22474
773033,"г Казань, ул Восстания 24","ulitsa Vosstaniya, 24",55.835756,49.091035
773040,"г Казань, ул Халезова 16","ulitsa Khalezova, 16",55.866748,49.221057
773052,"г Казань, ул Вишневского 14","Vishnevskiy Street, 14",55.784486,49.149344
773071,"г Казань, ул Бестужева 53  ч/д","ulitsa Bestuzheva, 53",55.876632,49.034037
773076,"г Казань, ул Серова 29","Serova Street, 29",55.826751,49.06669
773099,"г Казань, ул Дубравная 33","Dubravnaya ulitsa, 33к1",55.739169,49.208409
773143,"г Казань, ул Максимова 1","ulitsa Maksimova, 1",55.859817,49.097997
773178,"г Казань, ул Белинского 12","Belinskiy Street, 12/8",55.854355,49.076177
773182,"г Казань, ул Шоссейная (Борисоглебское) 2Е","Shosseynaya ulitsa, 2Д",55.878364,49.101725
773198,"г Казань, ул Лядова 10","ulitsa Lyadova, 10",55.85342,49.077785
773202,"г Казань, ул Академика Завойского 18","Akademika Zavoyskogo Street, 18",55.756027,49.235924
773243,"г Казань, ул Адоратского 41","Adoratskogo Street, 41",55.840159,49.142733
773285,"г Казань, ул Адоратского 51","Adoratskogo Street, 51",55.842671,49.141799
773326,"г Казань, ул Абсалямова 16","Absalyamova Street, 16",55.820501,49.11122
773434,"г Казань, ул Хади Такташа ",Khadi Taktasha Street,55.768228,49.133516
773447,"г Казань, ул Вересаева напротив 26","ulitsa Veresayeva, 26",55.874774,49.088439
773465,"г Казань, ул Баумана 70","Baumana Street, 70",55.789082,49.117355
773466,"г Казань, городок Военный 33 2","Voyenny gorodok-32, 33",55.80694,48.961902
773471,"г Казань, ул Беломорская 73","Belomorskaya Street, 73",55.866344,49.018783
773484,"г Казань, ул Серова 6Б","Serova Street, 6Б",55.826847,49.063133
773529,"г Казань, ул Восстания 123А","ulitsa Vosstaniya, 123А",55.830058,49.051374
773606,"г Казань, ул Глазунова 8","ulitsa Glazunova, 8",55.735682,49.148518
773632,"г Казань, ул Дмитрия Менделеева 18А","ulitsa Dmitriya Mendeleyeva, 18А",55.76017,49.247908
773652,"г Казань, пр-кт Победы 30","Pobedy Avenue, 30",55.742468,49.198994
773669,"г Казань, ул Дорожная (Нагорный) 54Б","Dorozhnaya ulitsa, 54Б",55.84862,49.223914
773702,"г Казань, ул Главная 56","Glavnaya ulitsa, 56",55.865238,49.22395
773786,"г Казань, ул Братьев Касимовых 44","Bratyev Kasimovykh Street, 44",55.755945,49.204366
773846,"г Казань, ул Академика Павлова 9","Akademika Pavlova Street, 9",55.863475,49.102722
773966,"г Казань, ул Революционная 69","Revolyutsionnaya ulitsa, 69",55.818629,48.905694
773989,"г Казань, ул Октябрьская (Большие Клыки) 2","Oktyabrskaya ulitsa, 2",55.788454,49.245635
773996,"г Казань, ул Даурская 24А","Daurskaya ulitsa, 24А",55.763214,49.166188
774085,"г Казань, ул Шатурская 220","Shaturskaya ulitsa, 220/21",55.868753,49.034603
774141,"г Казань, ул Гвардейская 61","Gvardeyskaya ulitsa, 61",55.769504,49.17871
774143,"г Казань, ул Академика Королева 22","Akademika Korolyova Street, 22",55.839163,49.075566
774305,"г Казань, ул Чистопольская 75","Chistopolskaya Street, 75",55.820349,49.149641
774317,"г Казань, ул Поперечно-Ноксинская 33","Poperechno-Noksinskaya ulitsa, 33",55.846133,49.196677
774367,"г Казань, ул Батыршина 23","Batyrshina Street, 23",55.823727,49.059172
774368,"г Казань, ул Маршала Чуйкова 29Б","ulitsa Marshala Chuykova, 29Б",55.838642,49.126033
774395,"г Казань, ул Воровского 11","ulitsa Vorovskogo, 11",55.842448,49.090693
774416,"г Казань, ул Меридианная 3","Meridiannaya Street, 3",55.81776,49.114732
774564,"г Казань, ул Журналистов 24","Zhurnalistov Street, 24",55.811219,49.189409
774629,"г Казань, ул Солнечная 4","Solnechnaya ulitsa, 4",55.710874,49.182259
774637,"г Казань, ул Муромская 1-я 33 а ","1-ya Muromskaya ulitsa, 33А",55.86946,49.02632
774659,"г Казань, ул Гагарина (Борисоглебское) 8","ulitsa Gagarina, 8",55.839567,49.097431
774708,"г Казань, ул Залесная 2","Zalesnaya ulitsa, 2",55.84726,48.906638
774712,"г Казань, ул Южно-Промышленная 1","Yuzhno-Promyshlennaya ulitsa, 1",55.73107,49.093173
774747,"г Казань, ул Хайдара Бигичева 9","ulitsa Khaydara Bigicheva, 9",55.785058,49.222413
774773,"г Казань, ул Шамиля Усманова 20","ulitsa Shamilya Usmanova, 20",55.830103,49.072107
774778,"г Казань, ул Сафиуллина 17 А","Safiullina Street, 17А",55.748285,49.231037
774787,"г Казань, ул Сабан 1","ulitsa Saban, 1",55.827353,49.050584
774790,"г Казань, ул Николая Ершова 57","Nikolay Ershov Street, 57",55.800018,49.179519
774797,"г Казань, ул Челюскина 38","ulitsa Chelyuskina, 38",55.864035,49.078836
774802,"г Казань, ул Мазита Гафури 50","Mazita Gafuri Street, 50",55.76723,49.104222
774816,"г Казань, ул Маршала Чуйкова 36","ulitsa Marshala Chuykova, 36",55.834977,49.127138
774837,"г Казань, ул Гудованцева 15","ulitsa Gudovantseva, 15",55.864252,49.019295
774855,"г Казань, ул Азинская 2-я 3","2nd Azinskaya Street, 3",55.805058,49.204528
774921,"г Казань, тер Лебяжье озеро ",territoriya Ozero Lebyazhye,55.839143,48.972987
774939,"г Казань, ул Гарифа Ахунова 22","ulitsa Garifa Akhunova, 22",55.728875,49.173779
774982,"г Казань, ул Гвардейская 52 В","Gvardeyskaya ulitsa, 52В",55.773677,49.174614
775027,"г Казань, ул Шмидта ",Leytenanta Shmidta Street,55.789421,49.154393
775066,"г Казань, ул Шмидта 34/18","Leytenanta Shmidta Street, 34",55.789127,49.155004
775097,"г Казань, ул Восстания 5","ulitsa Vosstaniya, 5",55.835184,49.099443
775136,"г Казань, пр-кт Фатыха Амирхана 3","Fatykha Amirkhana Street, 3",55.817658,49.130174
775256,"г Казань, ул Сибгата Хакима 43","Sibgata Khakima Street, 43",55.817355,49.139472
775290,"г Казань, пр-кт Ямашева 54","Yamasheva Avenue, 54к1",55.827742,49.125494
775375,"г Казань, ул Академика Губкина 17","Akademika Gubkina Street, 17",55.806616,49.192491
775462,"г Казань, ул Химиков 41","ulitsa Khimikov, 41",55.87144,49.017068
775597,"г Казань, ул Восстания 129","ulitsa Vosstaniya, 129",55.830129,49.048419
775760,"г Казань, ул Оренбургский тракт 142","Orenburgskiy trakt, 142",55.7282,49.184145
776092,"г Казань, ул Мира ",ulitsa Mira,55.798212,49.267096
776149,"г Казань, ул Николая Ершова 57Б","Nikolay Ershov Street, 57Б",55.800053,49.175818
776177,"г Казань, ул Комиссара Габишева 11","ulitsa Komissara Gabisheva, 11",55.746502,49.234307
776189,"г Казань, с Константиновка, ул Солнечная 27","Solnechnaya ulitsa, 27",55.814725,49.277687
776202,"г Казань, ул Декабристов 129","Dekabristov Street, 129",55.826756,49.083426
776208,"г Казань, ул Чулпан (Кульсеитово) 61/37",ulitsa Chulpan,55.89925,49.228558
776279,"г Казань, ул Побежимова ",ulitsa Pobezhimova,55.860464,49.076401
776280,"г Казань, ул 1 Мая 5","ulitsa 1 Maya, 5",55.812211,49.064382
776310,"г Казань, ул Академика Сахарова 29","Akademika Sakharova Street, 29",55.781671,49.224174
776335,"г Казань, ул Богатырева 13","ulitsa Bogatyryova, 13",55.815671,49.048428
776352,"г Казань, ул Беломорская 77","Belomorskaya Street, 77",55.866288,49.018083
776363,"г Казань, ул Космонавтов 35","ulitsa Kosmonavtov, 35",55.799421,49.191017
776376,"г Казань, ул Гвардейская ",Gvardeyskaya ulitsa,55.778203,49.173464
776458,"г Казань, ул Новая (Кадышево) 10/1","Novaya ulitsa, 10/1",55.902091,49.134666
776526,"г Казань, тер Деревня Универсиады 1","territoriya Derevnya Universiady, 1",55.744292,49.188448
